name,alias,smell,cure
蝎,主簿虫、杜白、虿尾虫。,甘、辛、平、有毒。,1、小儿脐风（初生儿断脐后伤风湿，唇青、口撮、出白沫，不吸乳）。用全蝎二十一个，酒炙为末，加麝香少许，每服二、三分，用金银煎汤调下。2、慢脾惊风（小儿久病或吐泻后生惊，转成慢脾）。用蝎梢一两，研为末，酒调匀，填入一枚挖空的石榴中，盖好，放文火粘搅熬成膏。取出放冷，每服二、三分，金银薄荷汤调下。又方；用全蝎、白术、麻黄（去节），等分末。二岁以下小儿，每服二、三分；三岁以上小儿，每服半钱，薄荷汤送下。3、天钓惊风，翻眼向上。用干蝎全者一个（瓦炒），好朱砂约三粒绿豆大。共研为末，加饭做成丸子，如绿豆大。另以朱砂少许，同酒化服一丸，立愈。
水蛭,至掌。大者名蜞、马蛭、马蟥、马。,咸、苦、平、有毒。,1、产后血晕（血结于胸中，或偏于少腹，或连于胁肋）。用水蛭（炒）、虫（去翅足，炒）、没药、麝香各一钱，共研为末，以四物汤调下。敌国下痛止拍，仍须服四物汤。2、跌打损伤（辨血凝滞，心腹胀痛，大小便不通）。用红蛭（石灰烽黄）半两，大黄、牵牛头末各二两，共研为末。每服二钱，热酒调下。当排出恶血，以尽为度。此方名“夺命散”。3、坠跌内伤。用水蛭、麝香各一两，锉碎，烧出烟，研为末。酒磅服一钱，当有积血排下。
蛆,是蝇的幼虫。,寒、无毒。,1、一切疳疾。在六月间取粪坑听蛆淘净，封竹筒中，干后研末。每服一、二钱，加麝香少许，米汤送服。又方：用淘米水泡蛆一天，逐日换汁，再以清水三天，也是逐日换汁，然后晒干火焙为末，加黄连末等分。每半两配麝香五分，一起和猪胆汁调成丸子，如黍米大。每服三、四十丸，米汤送下。极效。2、小儿痹积。用蛆洗泡后晒干，研为末，加甘草末少许，拌米糊做成丸子，如梧子大。每服五至七丸，米汤送下，甚效。3、热痢吐食（因服热药所致）。取粪蛆用流水洗净，晒干，研为末，每服一钱，米汤送下。
蛴螬,乳齐、应条。,咸、微温、有毒。,1、小儿脐疮。用蛴螬研末敷涂。数次可愈。2、小儿唇紧。用蛴螬研末，猪油调搽。3、丹毒。用蛴螬捣烂敷涂。
蚱蝉,调、齐女。,咸、甘、寒、无毒。,1、百日发惊。用蚱蝉（去翅足，炙过）三分、赤芍药三分、黄芩二分，加水二碗，煎成一碗，温服。2、破伤风病（角弓反张）。用秋蝉一个、地肤子（炒）八分、麝香少许，共研为末，酒送服二钱。3、头负疼痛。用蚱蝉二个，生研，加乳香、朱砂各半分，做成丸子，如小豆大，每用一丸，随头所在的一侧纳入鼻中，以出黄水为有效。
蝉蜕,蝉壳、枯蝉、腹、金牛儿。,咸、甘、寒、无毒。咸、甘、寒、无毒。,1、小儿夜啼。用蝉蜕四十九个，去前截，以后截研为末，分四次服，钩藤汤调下。2、小儿天吊（头目卯视，痰塞内热）。用金牛儿（即蝉蜕）在浆水中煮一天，晒干，研为末。每服二、三分，冷水调下。3、小儿初生、口噤不乳。用蝉蜕十数枚、全蝎（去毒）十数枚，共研为末，加轻粉末少许，乳汁调匀灌下。
蜣螂,推丸，推车客、黑牛儿，甲将军、夜游将军。,咸、寒、有毒。,1、小儿惊风（不拘急、慢均适用）。用蜣螂一枚捣烂，加水一小碗，于百沸汤中烫热，去渣，饮服。2、小儿疳疾。用土裹蜣螂煨熟。吃下。3、小儿重舌。有蜣螂烧成末，唾液和匀敷舌上。
天牛,天水牛、儿。一角者名独角仙。,有毒。,，小儿急惊，疔肿闱斑等。
蝼蛄,蟪蛄、天蝼、蝼蝈、仙姑、石、梧鼠、土。,咸、寒、无毒。,1、水肿病（腹满，喘急，不能安卧）。用蝼蛄五枚，焙干为末，饭前用开水送服一钱，以小便通畅为效，加甘遂末一钱、商陆汁一匙，忌盐一百日。又方：不便不通者，用蝼蛄下截焙研，水磁服半钱，立通。又方：用蝼蛄一个、葡萄心七个，捣烂，露一夜，晒干，共研为末，酒送服。又方：夏季收集蝼蛄阴干，分头、腹、尾，焙过收存，治上身水肿，用头末七个；治身体中部水肿，用腹末七个；治下身水肿，用尾末七个，饭前服，酒送下。2、大腹水肿。用蝼蛄炙热，每天吃十个。又方：用大戟、芫花、甘遂、大黄各三钱，共研为末。以蝼蛄七个，加捣烂的葱，在新瓦上焙干，去掉翅足，每个剪作左右两半。退左侧水肿时，即以虫的左侧七片焙研加上述的药末二钱，黎明时，用淡竹叶、天门冬煎激发调服。三天后，照这种方法服虫的右侧七片。3、鼻消水（头面乳肿较重）。用蝼蛄一个。轻粉二分半，共研为末，每次取少计，入鼻中，以黄水出尽为效。
萤火,夜光、熠、、救火，据火、挟火。,辛、微温、无毒。,明目，疗青盲，治小儿火疮伤等。
衣鱼,壁鱼、蠹鱼。,咸、温、无毒。,1、小儿天吊（眼向上翻）。用衣鱼干十个、湿者五个，加乳汁研匀灌下。2、小儿疾。用衣鱼七个、竹茹一把，加酒一升，煎成二合，温服。此方名“白鱼散”。3、目中浮翳。取书中衣鱼末，点少许在翳上。一天点二次。
鼠妇,负、负蟠、鼠姑、鼠粘，湿生虫、地鸡，地虱。,酸、温、无毒。,1、产妇尿秘。用鼠妇七个，熬过，研为末，酒送服。2、撮口脐风。用鼠妇捣烂，绞取汁少许灌取。3、风牙疼痛。用鼠妇、巴豆仁、胡椒各一枚，共研为末，加饭做成丸子，如绿豆大。棉裹一丸咬住，涎出吐去。有奇效。
蔗虫,土、过街。,咸、寒、有毒。,1、产后腹痛（有干血）。用蔗虫二十个（去足）、桃仁二十枚、大黄二两，共研为末，加炼蜜捣匀，分作四丸。每取一丸，以酒一升，煮成二合，温服。下血愈。此方名“大内蔗虫丸”。2、木舌肿强（塞口，治甚险）。有蔗虫（炙）五个、食盐半两，共研为末，在水二碗中煎开多次，随时热含吐涎，直至病愈。3、折伤接骨。用蔗虫烧存性，研为末。每服二、三钱，接骨有特效。又方，用生蔗虫捣出汁。酒送服，又方：用蔗虫六钱隔纸，砂锅内焙干；自然铜二两，火煅过，醋淬七闪，两药共研为末，每服二钱，温酒送下。伤在上方，饭后服；伤在下方饭前服。有特效。又方：用蔗虫一个，阴干临时研末入药，先用乳香、没药、龙骨、自然铜、火煅醋淬后，各取等分，加麝香少许，共研为末。每次取三分，与蔗虫末拌匀，酒调服。服药前要所折的部位整理好，否则接骨不能复原。
蜚蠊,石姜、负盘、滑虫、茶婆虫、香娘子。,咸、寒、有毒。,，症坚，，下气，利血脉。
蜚虻,暂无,苦、微寒、有毒。,1、蛇螫血出。取虻虫初食牛马血腹满者二十个，烧过，研为末，开水送服。2、因病去胎。用虻虫十个，炙过，研为末，酒送服，胎即下。3、跌坠瘀血。用虻虫二十个、牡丹皮一两，共研为末，酒送服一匙，血即化为水。若骨节中有宿血。则两味取等量。
蟾蜍,促秋、秋施、促、苦、何皮、癞。,：甘、辛、温、有毒。,1、腹中冷癖（逆害饮食，两胁痞满，按之鸣转）。用大蟾蜍一个，去皮肠，切成小块，加硭硝（体强者一升，中等者七合体弱者五合），以水七升，煮成四升，一次服下，以得泻为度。2、小儿疳积（疳积腹大。黄瘦骨立，头生疮疖）。用立秋后大蟾蜍，去首、足肠，涂上清油，在瓦上炙熟吃下，有积秽排出。连吃五、六个，一月这后，形容改变，疗效显着。3、五疳八痢（面黄肌瘦，好食泥土，不思乳食）。用大干蟾蜍一个（烧存性）、皂角（去皮弦）一钱（烧存性）、蛤粉（水飞）三钱、麝香一钱，共研为末，糊成丸子，如粟米大。每服三、四十丸，空心服，米汤送下。一天服二次，此方名“五疳保童丸”。
蛤蟆,惊蟆。,辛、寒、有毒。,1、风热邪病。用蛤蟆（烧灰）、朱砂，等分为末，每服一钱，酒送下。一天服三次，极效。2、瘰疬溃烂，用黑色蛤蟆一个，去肠，火焙，研为末，调油敷涂。3、头上软疖。用蛤蟆剥皮贴患处，收毒即愈。
蛙,长股、田鸡、青鸡、坐鱼、蛤鱼。,甘、寒、无毒。,1、水肿。用活蛙三个，每个口内放一铜钱，钱上涂黄连末少许；另取猪肚一个，以茶油洗净后，包蛙在其中，扎好，煮一会取出，去掉蛙的皮、肠，只吃蛙肉和猪肚，酒磁定。忌食酸、咸、鱼、面、鸡、鹅、羊肉，宜吃猪、鸭。此方名“蛤馔”。2、水蛊腹在。动有水声，皮肤变黑。用干青蛙二个，以油炒干；蝼蛄七枚，炒过；苦戎芦半两，炒过。共研为末。每服二钱，空心服，温酒送下。三服可愈。3、毒痢噤口。用青蛙一个，连肠肚捣碎，瓦上烘热，加麝香五分，作饼贴脐上，气通后即能进食。
蝌蚪,活师、活东、玄鱼、悬针、水仙子、台。,暂无,暂无
蜈蚣,蒺藜、蛆、天龙。,辛、温、有毒。,1、小儿撮口（舌上有疮，如粟米大）。用生蜈蚣捣汁敷涂。2、小儿急惊。用蜈蚣一条（去足），炙为末，丹砂、轻粉，等分研匀，加乳汁和成丸子，如绿豆大。按病几年龄。每岁服一丸，乳汁送下。3、天吊惊风（目久不下，眼见白睛，角弓反张，不能出声）。用大蜈蚣一条，去头足，油炙，以竹刀劈为左右两半，研为末，各半加麝香五分。用时，以左半药末吹入左鼻，以右半药末吹入右鼻，但都只吹少许，不可过多。若眼末下，可再吹入少量，服下即止。
蚯蚓,蜮蚓、劬闰、坚、阮善。,咸寒、无毒。,1、伤寒热结。用大蚓半斤，去泥，以人尿煮汁饮服。或以生蚓绞汁服亦可。2、诸疟烦热。用生蚯蚓四条，洗净，研如泥，加生姜汁少许，薄荷汁少许，蜜一匙，水调服。3、小便不通。和蚯蚓捣烂，浸水中，滤取浓汁半碗服下，立通。
蜗牛,称俞、山、蜗赢、蜒蚰赢、土牛儿。,咸、寒、有小毒。,1、小便不通。用蜗牛捣烂贴脐下，以手摩擦。加麝香少许更好。2、大肠脱胎换骨肛。用蜗牛一两烧灰，调猪油敷涂，立缩。又方；用干蜗牛一百个，炒研。每取一钱，以飞过赤汁的磁石末五钱，加水一碗，煎成半碗，调药服下。3、痔疮肿痛。用蜗牛浸油涂搽，或烧过研末敷涂。又方：用蜗牛一个，加麝香少许，装碗中，次日取碗中液汁涂搽。
蛞蝓,陵蠡、土蜗、托胎虫、鼻涕虫、蜒蚰螺。,咸、寒、无毒。,1、蜈蚣咬伤。用蛞蝓生捣敷涂。2、痔热肿痛。用大蛞蝓一个捣中泥，加龙脑三分、胭脂坯子半钱，敷患处。敷药前。以石薜煮水熏洗更好。3、脚胫烂疮。用蛞蝓十个，瓦上焙干，研为末，调油敷患处，立效。
蛔虫,人。,大寒。,1、多年风眼。用蛔虫五条，晒干，研为末，加腻粉一钱、石胆半钱，共研为末点眼。每日二、三次。2、一切冷瘘。和人吐蛔虫烧灰涂搽。涂前以甘草汤洗净患处。3、小儿赤眼（胎赤眼或风赤眼）。用小儿吐出的蛔虫二条，装磁盒中，纸封好，埋湿地内。过五天取出，收存汁水。每日以箸蘸汁点眼。此方名“玉箸煎”。
